"","chr","start","end","Cn_R_group"
"union_peak_599","chr1",60874722,60875949,"A"
"union_peak_606","chr1",60940744,60941816,"E"
"union_peak_613","chr1",61030085,61031183,"ABC"
"union_peak_614","chr1",61039061,61039897,"AB"
"union_peak_616","chr1",61049897,61050733,"ABC"
"union_peak_622","chr1",61422987,61424604,"AB"
"union_peak_640","chr1",64085548,64086467,"D"
"union_peak_644","chr1",64136030,64136882,"DEF"
"union_peak_664","chr1",64756325,64757718,"AB"
"union_peak_666","chr1",64949106,64950042,"AB"
"union_peak_673","chr1",66278802,66279815,"DEF"
"union_peak_674","chr1",66552127,66553295,"DEF"
"union_peak_688","chr1",66931378,66932709,"AB"
"union_peak_697","chr1",69544065,69544742,"A"
"union_peak_702","chr1",69680762,69682168,"F"
"union_peak_707","chr1",69752640,69753421,"EF"
"union_peak_709","chr1",69768520,69769721,"DEF"
"union_peak_718","chr1",71576347,71577529,"AB"
"union_peak_730","chr1",74200818,74201794,"ABC"
"union_peak_745","chr1",74372916,74373866,"C"
"union_peak_776","chr1",78537024,78538667,"D"
"union_peak_777","chr1",78622646,78624037,"F"
"union_peak_778","chr1",78657266,78658390,"DEF"
"union_peak_780","chr1",79560782,79561889,"C"
"union_peak_781","chr1",79581180,79582273,"C"
"union_peak_794","chr1",80361756,80362771,"A"
"union_peak_795","chr1",80380419,80381992,"AB"
"union_peak_799","chr1",80440568,80441791,"E"
"union_peak_826","chr1",82836336,82836946,"ABC"
"union_peak_829","chr1",82900290,82901335,"DE"
"union_peak_830","chr1",82913107,82913993,"D"
"union_peak_832","chr1",82973607,82974573,"DEF"
"union_peak_850","chr1",85732103,85733135,"A"
"union_peak_857","chr1",85837707,85838652,"AB"
"union_peak_859","chr1",85845273,85846230,"A"
"union_peak_865","chr1",85953079,85954038,"ABC"
"union_peak_892","chr1",86580326,86581005,"B"
"union_peak_899","chr1",87377813,87379151,"DEF"
"union_peak_907","chr1",87636717,87637838,"D"
"union_peak_928","chr1",87914229,87915365,"A"
"union_peak_933","chr1",88267020,88268388,"A"
"union_peak_950","chr1",88577946,88578842,"D"
"union_peak_955","chr1",88622063,88623074,"D"
"union_peak_970","chr1",89069720,89070923,"DE"
"union_peak_972","chr1",89602633,89603373,"DEF"
"union_peak_996","chr1",91507012,91508081,"A"
"union_peak_1004","chr1",92050818,92052352,"D"
"union_peak_1012","chr1",92130178,92130865,"DEF"
"union_peak_1014","chr1",92178275,92178828,"DEF"
"union_peak_1027","chr1",92773898,92775077,"C"
"union_peak_1029","chr1",92805251,92807443,"ABC"
"union_peak_1050","chr1",94042034,94042840,"AC"
"union_peak_1053","chr1",94055562,94056441,"A"
"union_peak_1075","chr1",97745875,97746717,"A"
"union_peak_1095","chr1",106035218,106037087,"DE"
"union_peak_1108","chr1",106581551,106582419,"A"
"union_peak_1112","chr1",106615495,106616129,"B"
"union_peak_1120","chr1",106866500,106867236,"DEF"
"union_peak_1137","chr1",119712594,119714267,"B"
"union_peak_1154","chr1",125419337,125420476,"AB"
"union_peak_1168","chr1",127212136,127212943,"E"
"union_peak_1169","chr1",127213223,127213843,"DE"
"union_peak_1178","chr1",127319490,127320363,"DEF"
"union_peak_1179","chr1",127322412,127322825,"DEF"
"union_peak_1185","chr1",127637479,127638719,"ABC"
"union_peak_1190","chr1",127692898,127694358,"AB"
"union_peak_1192","chr1",127796022,127796992,"D"
"union_peak_1194","chr1",127830028,127831034,"DE"
"union_peak_1213","chr1",128601390,128601710,"D"
"union_peak_1214","chr1",128602249,128603197,"DEF"
"union_peak_1217","chr1",128611898,128612198,"DE"
"union_peak_1225","chr1",128790653,128791397,"D"
"union_peak_1228","chr1",128830803,128831521,"A"
"union_peak_1230","chr1",129615647,129617165,"B"
"union_peak_1236","chr1",130550754,130551539,"DE"
"union_peak_1241","chr1",130993266,130994486,"ABC"
"union_peak_1245","chr1",131022598,131023405,"C"
"union_peak_1253","chr1",131110065,131111399,"A"
"union_peak_1265","chr1",131324581,131325381,"DEF"
"union_peak_1266","chr1",131349502,131350304,"DE"
"union_peak_1267","chr1",131365588,131366528,"D"
"union_peak_1315","chr1",133694669,133695469,"AB"
"union_peak_1333","chr1",134097925,134099726,"AB"
"union_peak_1335","chr1",134110282,134111632,"AB"
"union_peak_1354","chr1",135267706,135268915,"AB"
"union_peak_1363","chr1",135725615,135726398,"DEF"
"union_peak_1366","chr1",135807334,135808240,"DEF"
"union_peak_1384","chr1",136600509,136601330,"DEF"
"union_peak_1413","chr1",138179889,138180632,"ABC"
"union_peak_1420","chr1",138251723,138252481,"A"
"union_peak_1421","chr1",138258531,138259572,"AB"
"union_peak_1424","chr1",138289124,138290703,"ABC"
"union_peak_1426","chr1",138297974,138298837,"AB"
"union_peak_1435","chr1",138559162,138561196,"ABC"
"union_peak_1437","chr1",138587629,138588469,"ABC"
"union_peak_1446","chr1",138930577,138931502,"A"
"union_peak_1447","chr1",138939499,138940550,"ABC"
"union_peak_1448","chr1",138952154,138953256,"B"
"union_peak_1449","chr1",138954683,138955359,"ABC"
"union_peak_1453","chr1",138975562,138976507,"AB"
"union_peak_1465","chr1",143465271,143466743,"ABC"
"union_peak_1483","chr1",144075835,144077312,"C"
"union_peak_1492","chr1",144300374,144302212,"ABC"
"union_peak_1493","chr1",144306663,144308833,"ABC"
"union_peak_1496","chr1",144355166,144356358,"ABC"
"union_peak_1512","chr1",151095549,151097039,"D"
"union_peak_1513","chr1",151177369,151178329,"D"
"union_peak_1528","chr1",151689228,151689939,"B"
"union_peak_1538","chr1",152037370,152038576,"D"
"union_peak_1542","chr1",152269839,152270551,"DE"
"union_peak_1546","chr1",152585025,152586025,"DEF"
"union_peak_1553","chr1",153066259,153067315,"AB"
"union_peak_1558","chr1",153299527,153300446,"AB"
"union_peak_1559","chr1",153303824,153305182,"ABC"
"union_peak_1569","chr1",153616918,153618086,"AB"
"union_peak_1591","chr1",155118569,155119628,"AB"
"union_peak_1596","chr1",155172786,155174005,"BC"
"union_peak_1598","chr1",155201056,155201761,"A"
"union_peak_1616","chr1",156027826,156028786,"A"
"union_peak_1628","chr1",156521297,156522751,"EF"
"union_peak_1643","chr1",156938300,156940321,"DE"
"union_peak_1656","chr1",160006114,160007473,"EF"
"union_peak_1682","chr1",160842200,160843571,"ABC"
"union_peak_1689","chr1",161156179,161157387,"DE"
"union_peak_1696","chr1",161308956,161309851,"DE"
"union_peak_1706","chr1",161744407,161745386,"B"
"union_peak_1711","chr1",161778790,161779800,"D"
"union_peak_1725","chr1",162179231,162179981,"EF"
"union_peak_1730","chr1",162564773,162565643,"B"
"union_peak_1733","chr1",162586060,162586859,"A"
"union_peak_1746","chr1",164062647,164064196,"DE"
"union_peak_1747","chr1",164069160,164069657,"D"
"union_peak_1748","chr1",164072150,164072596,"D"
"union_peak_1762","chr1",164453515,164454304,"DEF"
"union_peak_1763","chr1",164458126,164458832,"DEF"
"union_peak_1765","chr1",164571457,164572730,"DEF"
"union_peak_1768","chr1",164814911,164815935,"DEF"
"union_peak_1770","chr1",164935240,164936517,"AC"
"union_peak_1772","chr1",164965776,164966821,"A"
"union_peak_1803","chr1",165816211,165816935,NA
"union_peak_1805","chr1",165837496,165838553,"DE"
"union_peak_1817","chr1",166409420,166410972,"AB"
"union_peak_1842","chr1",170861523,170862383,"ABC"
"union_peak_1850","chr1",170934077,170934941,"B"
"union_peak_1851","chr1",170950009,170951258,"BC"
"union_peak_1852","chr1",170972012,170973461,"ABC"
"union_peak_1853","chr1",170977055,170977320,"B"
"union_peak_1854","chr1",170978537,170979448,"ABC"
"union_peak_1894","chr1",171628718,171630254,"ABC"
"union_peak_1897","chr1",171648440,171649465,"ABC"
"union_peak_1898","chr1",171661159,171661977,"B"
"union_peak_1901","chr1",171677479,171678342,"A"
"union_peak_1906","chr1",171761933,171763227,"AB"
"union_peak_1921","chr1",171920888,171922027,"E"
"union_peak_1941","chr1",172305898,172306660,"ABC"
"union_peak_1945","chr1",172455000,172455920,"D"
"union_peak_1962","chr1",173440207,173441800,"AB"
"union_peak_1963","chr1",173451027,173452523,"ABC"
"union_peak_1974","chr1",173634132,173634981,"D"
"union_peak_1981","chr1",173912021,173913496,"ABC"
"union_peak_2042","chr1",180313753,180314830,"D"
"union_peak_2046","chr1",180338175,180338987,"DE"
"union_peak_2083","chr1",181130014,181131300,"AB"
"union_peak_2088","chr1",181226834,181228118,"DEF"
"union_peak_2093","chr1",181335032,181335881,"DEF"
"union_peak_2115","chr1",182382832,182383834,"B"
"union_peak_2117","chr1",182432034,182433615,"ABC"
"union_peak_2119","chr1",182505956,182507218,"AB"
"union_peak_2121","chr1",182527849,182529012,"AB"
"union_peak_2124","chr1",183179704,183180744,"DEF"
"union_peak_2134","chr1",183987486,183988485,"DEF"
"union_peak_2137","chr1",184024269,184025477,"DE"
"union_peak_2142","chr1",184117716,184119091,"E"
"union_peak_2144","chr1",184534036,184535077,"ABC"
"union_peak_2148","chr1",184793112,184794067,"DEF"
"union_peak_2161","chr1",187228430,187229310,"A"
"union_peak_2169","chr1",189608580,189609598,"DEF"
"union_peak_2176","chr1",189866309,189868142,"B"
"union_peak_2187","chr1",191259043,191259676,"DE"
"union_peak_2201","chr1",191445541,191446605,"D"
"union_peak_2220","chr1",192062361,192063337,"A"
"union_peak_2222","chr1",192086302,192087212,"DE"
"union_peak_2230","chr1",192732796,192733611,"A"
"union_peak_2250","chr1",193328927,193330269,"A"
"union_peak_2255","chr1",193421134,193422308,"D"
"union_peak_2256","chr1",193443961,193444781,"A"
"union_peak_2269","chr10",4099844,4100525,"DEF"
"union_peak_2285","chr10",5384107,5384744,"DEF"
"union_peak_2286","chr10",5447989,5449029,"DEF"
"union_peak_2299","chr10",7211599,7213099,"DEF"
"union_peak_2303","chr10",7630256,7631667,"DE"
"union_peak_2317","chr10",7879679,7880760,"AB"
"union_peak_2324","chr10",8055036,8056452,"A"
"union_peak_2328","chr10",8129599,8130985,"A"
"union_peak_2333","chr10",8197237,8197973,"A"
"union_peak_2336","chr10",8415211,8416425,"ABC"
"union_peak_2361","chr10",12823399,12824628,"DE"
"union_peak_2369","chr10",12887722,12889154,"A"
"union_peak_2372","chr10",12963033,12964919,"ABC"
"union_peak_2386","chr10",13831923,13833530,"ABC"
"union_peak_2394","chr10",13997339,13997988,"C"
"union_peak_2397","chr10",14016247,14016948,"C"
"union_peak_2398","chr10",14017237,14018677,"ABC"
"union_peak_2399","chr10",14033941,14035017,"AB"
"union_peak_2414","chr10",17427291,17428217,"B"
"union_peak_2415","chr10",17484606,17485824,"AB"
"union_peak_2418","chr10",17548523,17549375,"A"
"union_peak_2420","chr10",17564900,17566862,"ABC"
"union_peak_2422","chr10",17578993,17579890,"A"
"union_peak_2435","chr10",18007693,18008960,"ABC"
"union_peak_2443","chr10",18192992,18193799,"DE"
"union_peak_2454","chr10",18946840,18947460,"AB"
"union_peak_2467","chr10",19116820,19117581,"DEF"
"union_peak_2468","chr10",19122136,19122804,"DEF"
"union_peak_2469","chr10",19127269,19128001,"DEF"
"union_peak_2475","chr10",19209303,19210350,"B"
"union_peak_2476","chr10",19214664,19215343,"ABC"
"union_peak_2477","chr10",19215643,19216675,"AB"
"union_peak_2479","chr10",19321461,19322363,"E"
"union_peak_2485","chr10",19494182,19495123,"BC"
"union_peak_2488","chr10",19515980,19517136,"AB"
"union_peak_2501","chr10",19718457,19719454,"AB"
"union_peak_2516","chr10",20119158,20120241,"AC"
"union_peak_2519","chr10",20281203,20282384,"DE"
"union_peak_2546","chr10",21204355,21205619,"ABC"
"union_peak_2549","chr10",21234816,21236057,"E"
"union_peak_2552","chr10",21251811,21252743,"E"
"union_peak_2553","chr10",21254922,21255339,"DEF"
"union_peak_2566","chr10",21552579,21553654,"EF"
"union_peak_2580","chr10",21975092,21976952,"A"
"union_peak_2584","chr10",22002613,22004149,"ABC"
"union_peak_2587","chr10",22148227,22149599,"B"
"union_peak_2605","chr10",24291536,24293236,"D"
"union_peak_2612","chr10",24639897,24640963,"D"
"union_peak_2626","chr10",26202744,26203857,"AB"
"union_peak_2627","chr10",26227918,26230177,"ABC"
"union_peak_2630","chr10",26325059,26326099,"E"
"union_peak_2670","chr10",28815723,28816750,"AB"
"union_peak_2677","chr10",30549709,30550638,"C"
"union_peak_2678","chr10",30570042,30570821,"C"
"union_peak_2690","chr10",34030121,34031237,"C"
"union_peak_2693","chr10",34110584,34111553,"E"
"union_peak_2705","chr10",36157604,36158543,"DE"
"union_peak_2712","chr10",37337074,37337991,"B"
"union_peak_2714","chr10",38884624,38885537,"DEF"
"union_peak_2735","chr10",39455755,39456935,"ABC"
"union_peak_2736","chr10",39462348,39463293,"ABC"
"union_peak_2737","chr10",39469190,39470691,"ABC"
"union_peak_2738","chr10",39471213,39472074,"ABC"
"union_peak_2739","chr10",39478990,39480271,"ABC"
"union_peak_2740","chr10",39486294,39487301,"ABC"
"union_peak_2741","chr10",39488059,39488667,"A"
"union_peak_2743","chr10",39505458,39507021,"ABC"
"union_peak_2744","chr10",39514423,39515443,"ABC"
"union_peak_2774","chr10",40309712,40310675,"AB"
"union_peak_2779","chr10",40419694,40420587,"DE"
"union_peak_2783","chr10",40461989,40463480,"E"
"union_peak_2803","chr10",41614823,41615981,"D"
"union_peak_2804","chr10",41619783,41620623,"D"
"union_peak_2811","chr10",41880375,41881426,"DEF"
"union_peak_2815","chr10",41957359,41958120,"A"
"union_peak_2817","chr10",41978218,41979865,"ABC"
"union_peak_2818","chr10",41984043,41984874,"ABC"
"union_peak_2834","chr10",42698336,42699519,"DE"
"union_peak_2838","chr10",42848397,42849257,"DEF"
"union_peak_2859","chr10",43740257,43740825,"DEF"
"union_peak_2877","chr10",44409636,44410662,"A"
"union_peak_2888","chr10",44537588,44538526,"A"
"union_peak_2891","chr10",44820401,44822357,"ABC"
"union_peak_2893","chr10",45002677,45003776,"B"
"union_peak_2894","chr10",45019403,45020835,"AB"
"union_peak_2903","chr10",51453330,51455089,"ABC"
"union_peak_2904","chr10",51479966,51481084,"ABC"
"union_peak_2906","chr10",51490360,51491266,"ABC"
"union_peak_2938","chr10",57799201,57799903,"A"
"union_peak_2939","chr10",57835058,57835954,"ABC"
"union_peak_2957","chr10",58463158,58464708,"B"
"union_peak_2966","chr10",59577676,59579202,"AB"
"union_peak_2981","chr10",59906427,59907531,"E"
"union_peak_2983","chr10",59910925,59911723,"DE"
"union_peak_2995","chr10",60038001,60039000,"ABC"
"union_peak_3010","chr10",60396440,60398100,"ABC"
"union_peak_3016","chr10",61231747,61232510,"EF"
"union_peak_3017","chr10",61232939,61233843,"DEF"
"union_peak_3018","chr10",61273640,61274356,"A"
"union_peak_3019","chr10",61275595,61276381,"AB"
"union_peak_3024","chr10",61326890,61328667,"ABC"
"union_peak_3025","chr10",61334193,61335348,"ABC"
"union_peak_3054","chr10",62664754,62666341,"D"
"union_peak_3082","chr10",67049068,67049750,"A"
"union_peak_3097","chr10",67482950,67484153,"AC"
"union_peak_3113","chr10",67657332,67658567,"A"
"union_peak_3121","chr10",68035654,68036899,"ABC"
"union_peak_3122","chr10",68039631,68040497,"ABC"
"union_peak_3127","chr10",68153506,68154588,"D"
"union_peak_3129","chr10",68199165,68200093,"ABC"
"union_peak_3130","chr10",68221902,68223114,"A"
"union_peak_3137","chr10",68512179,68513127,"A"
"union_peak_3142","chr10",68673316,68674209,"DEF"
"union_peak_3176","chr10",75301325,75302429,"ABC"
"union_peak_3177","chr10",75303064,75303976,"A"
"union_peak_3181","chr10",75354284,75354851,"B"
"union_peak_3186","chr10",75417360,75418223,"E"
"union_peak_3188","chr10",75434126,75435109,"ABC"
"union_peak_3204","chr10",75696709,75697615,"AB"
"union_peak_3205","chr10",75702181,75703096,"A"
"union_peak_3225","chr10",76269827,76271984,"ABC"
"union_peak_3232","chr10",76541382,76541914,"A"
"union_peak_3233","chr10",76542330,76543607,"ABC"
"union_peak_3234","chr10",76743565,76744874,"DEF"
"union_peak_3239","chr10",77273048,77273902,"AC"
"union_peak_3241","chr10",77366677,77367571,"BC"
"union_peak_3255","chr10",77626544,77627837,"ABC"
"union_peak_3256","chr10",77629534,77630412,"ABC"
"union_peak_3294","chr10",78594419,78595173,"DEF"
"union_peak_3301","chr10",79690731,79692467,"ABC"
"union_peak_3308","chr10",79797258,79798789,"ABC"
"union_peak_3381","chr10",80763098,80764120,"A"
"union_peak_3421","chr10",81247751,81248546,"DEF"
"union_peak_3423","chr10",81254560,81255542,"A"
"union_peak_3438","chr10",81404779,81405955,"AB"
"union_peak_3450","chr10",81509825,81510731,"ABC"
"union_peak_3452","chr10",81523829,81525230,"A"
"union_peak_3460","chr10",81560923,81561904,"E"
"union_peak_3484","chr10",82779455,82781286,"A"
"union_peak_3501","chr10",83329789,83330963,"AB"
"union_peak_3502","chr10",83336015,83337658,"AB"
"union_peak_3520","chr10",84631522,84632435,"E"
"union_peak_3528","chr10",85044449,85045486,"A"
"union_peak_3534","chr10",85161232,85162507,"ABC"
"union_peak_3538","chr10",85352328,85353159,"ABC"
"union_peak_3563","chr10",88380170,88381312,"ABC"
"union_peak_3564","chr10",88388930,88390599,"A"
"union_peak_3565","chr10",88405411,88406598,"ABC"
"union_peak_3566","chr10",88417908,88418606,"A"
"union_peak_3567","chr10",88420087,88421331,"ABC"
"union_peak_3568","chr10",88426669,88427026,"B"
"union_peak_3569","chr10",88427507,88428653,"ABC"
"union_peak_3571","chr10",88539729,88540961,"ABC"
"union_peak_3603","chr10",93041174,93042544,"D"
"union_peak_3607","chr10",93083120,93084104,"A"
"union_peak_3641","chr10",93441975,93442807,"E"
"union_peak_3657","chr10",93908344,93909057,"A"
"union_peak_3678","chr10",94846772,94848956,"ABC"
"union_peak_3679","chr10",94860616,94861347,"A"
"union_peak_3680","chr10",94864329,94865454,"BC"
"union_peak_3687","chr10",95008645,95009755,"AB"
"union_peak_3694","chr10",95265808,95266848,"AB"
"union_peak_3696","chr10",95299276,95300909,"ABC"
"union_peak_3715","chr10",95970688,95972224,"AB"
"union_peak_3720","chr10",96136503,96137401,"DE"
"union_peak_3730","chr10",96328336,96328872,"A"
"union_peak_3732","chr10",96349933,96351508,"ABC"
"union_peak_3733","chr10",96356705,96358331,"AB"
"union_peak_3745","chr10",96515504,96516485,"AB"
"union_peak_3748","chr10",96569316,96570652,"D"
"union_peak_3755","chr10",96609209,96610333,"D"
"union_peak_3762","chr10",96690424,96691475,"DE"
"union_peak_3763","chr10",96697636,96698491,"E"
"union_peak_3774","chr10",98563700,98565149,"AB"
"union_peak_3776","chr10",98717370,98718447,"AB"
"union_peak_3782","chr10",98776132,98777033,"AB"
"union_peak_3789","chr10",98848163,98849018,"A"
"union_peak_3790","chr10",98877245,98878723,"AB"
"union_peak_3801","chr10",99116590,99117446,"DE"
"union_peak_3826","chr10",100769918,100770922,"DEF"
"union_peak_3838","chr10",108117789,108120125,"ABC"
"union_peak_3864","chr10",111232802,111235007,"ABC"
"union_peak_3872","chr10",111635415,111636336,"AB"
"union_peak_3892","chr10",116487139,116487778,"A"
"union_peak_3901","chr10",116913190,116914595,"DEF"
"union_peak_3903","chr10",116929959,116930932,"E"
"union_peak_3908","chr10",117055561,117056680,"ABC"
"union_peak_3912","chr10",117118222,117119933,"DEF"
"union_peak_3929","chr10",117451843,117452756,"D"
"union_peak_3956","chr10",117893987,117895093,"ABC"
"union_peak_3959","chr10",117909402,117910344,"ABC"
"union_peak_3962","chr10",117938334,117939202,"AB"
"union_peak_3964","chr10",117947632,117948524,"DE"
"union_peak_3967","chr10",117969611,117970610,"AB"
"union_peak_3975","chr10",118064474,118065392,"D"
"union_peak_3978","chr10",118095907,118096783,"B"
"union_peak_3989","chr10",118404239,118404991,"AB"
"union_peak_3990","chr10",118406483,118407805,"AB"
"union_peak_3994","chr10",118434974,118436152,"ABC"
"union_peak_3995","chr10",118440374,118442494,"ABC"
"union_peak_3997","chr10",118458620,118459328,"A"
"union_peak_3999","chr10",118468737,118471164,"A"
"union_peak_4002","chr10",118486487,118487591,"A"
"union_peak_4012","chr10",118632365,118634063,"DE"
"union_peak_4013","chr10",118712973,118714798,"DEF"
"union_peak_4017","chr10",118765725,118766599,"DEF"
"union_peak_4027","chr10",119001314,119002347,"DE"
"union_peak_4029","chr10",119005306,119005958,"DE"
"union_peak_4049","chr10",120616260,120617569,"E"
"union_peak_4050","chr10",120624877,120625951,"E"
"union_peak_4051","chr10",120882066,120883211,"D"
"union_peak_4052","chr10",120895403,120896413,"D"
"union_peak_4065","chr10",121374674,121375622,"AB"
"union_peak_4068","chr10",121420044,121420897,"EF"
"union_peak_4072","chr10",121493660,121494355,"DEF"
"union_peak_4082","chr10",121886642,121887432,"DE"
"union_peak_4088","chr10",122599338,122600171,"DEF"
"union_peak_4093","chr10",122725743,122726786,"A"
"union_peak_4094","chr10",122727158,122728820,"ABC"
"union_peak_4095","chr10",122736892,122737443,"A"
"union_peak_4098","chr10",122757763,122758990,"E"
"union_peak_4152","chr10",127300450,127301486,"ABC"
"union_peak_4169","chr10",127585971,127586691,"A"
"union_peak_4171","chr10",127654693,127655732,"AB"
"union_peak_4223","chr10",128663364,128664305,"A"
"union_peak_4227","chr10",128715834,128717057,"E"
"union_peak_4229","chr10",128744778,128747123,"DE"
"union_peak_4242","chr10",128990460,128991709,"D"
"union_peak_4252","chr10",130414154,130415347,"AB"
"union_peak_4253","chr10",130438610,130439856,"ABC"
"union_peak_4254","chr10",130466379,130467332,"AB"
"union_peak_4256","chr10",130469875,130470764,"B"
"union_peak_4264","chr11",3138400,3139109,"AB"
"union_peak_4267","chr11",3153638,3154654,"ABC"
"union_peak_4285","chr11",3328342,3329076,"DEF"
"union_peak_4286","chr11",3329923,3330939,"D"
"union_peak_4289","chr11",3344672,3345461,"DE"
"union_peak_4320","chr11",4268074,4269142,"ABC"
"union_peak_4321","chr11",4288989,4289956,"C"
"union_peak_4331","chr11",4803627,4805133,"ABC"
"union_peak_4332","chr11",4823615,4824429,"A"
"union_peak_4349","chr11",5150543,5151684,"E"
"union_peak_4351","chr11",5215310,5216333,"E"
"union_peak_4358","chr11",5411470,5412313,"DEF"
"union_peak_4359","chr11",5415793,5416422,"DE"
"union_peak_4377","chr11",5998077,5998964,"B"
"union_peak_4415","chr11",6694873,6695620,"DEF"
"union_peak_4416","chr11",6704573,6705664,"DEF"
"union_peak_4420","chr11",10275635,10277235,"EF"
"union_peak_4427","chr11",11505625,11506736,"D"
"union_peak_4447","chr11",11725654,11726762,"D"
"union_peak_4453","chr11",11762961,11764040,"B"
"union_peak_4466","chr11",16976629,16978279,"AB"
"union_peak_4467","chr11",16987418,16988559,"ABC"
"union_peak_4468","chr11",16996600,16997643,"AB"
"union_peak_4469","chr11",17000736,17001396,"AB"
"union_peak_4470","chr11",17007207,17008728,"ABC"
"union_peak_4528","chr11",21149606,21150845,"D"
"union_peak_4530","chr11",21166674,21167397,"DE"
"union_peak_4534","chr11",21220487,21221274,"AC"
"union_peak_4548","chr11",21447643,21448747,"A"
"union_peak_4554","chr11",22692626,22693671,"DE"
"union_peak_4595","chr11",26640184,26641225,"A"
"union_peak_4609","chr11",30126564,30127602,"DE"
"union_peak_4617","chr11",30630317,30631512,"AB"
"union_peak_4630","chr11",31963752,31964550,"DEF"
"union_peak_4631","chr11",31999451,32000678,"DE"
"union_peak_4633","chr11",32011723,32012392,"DE"
"union_peak_4634","chr11",32013285,32014098,"DEF"
"union_peak_4637","chr11",32061492,32062544,"DE"
"union_peak_4638","chr11",32095492,32096426,"DE"
"union_peak_4640","chr11",32125699,32126679,"DE"
"union_peak_4666","chr11",33700324,33701497,"C"
"union_peak_4684","chr11",34506021,34506937,"A"
"union_peak_4685","chr11",34543706,34545004,"F"
"union_peak_4686","chr11",34681719,34683983,"F"
"union_peak_4713","chr11",43385201,43385576,"B"
"union_peak_4722","chr11",43766769,43767582,"D"
"union_peak_4742","chr11",45873960,45874870,"DEF"
"union_peak_4753","chr11",46074165,46074882,"A"
"union_peak_4754","chr11",46075523,46076558,"A"
"union_peak_4761","chr11",46125306,46126968,"ABC"
"union_peak_4774","chr11",46343636,46344954,"D"
"union_peak_4776","chr11",46361684,46363268,"A"
"union_peak_4784","chr11",46404936,46405528,"DEF"
"union_peak_4788","chr11",46445924,46446777,"AB"
"union_peak_4790","chr11",46452830,46455234,"ABC"
"union_peak_4791","chr11",46461692,46462473,"AB"
