"","A_chr","A_start","A_end","A_peak","C_chr","C_start","C_end","C_peak","overlap"
"38","chr9",59940989,59942355,"union_peak_52000","chr9",59941311,59942411,"union_peak_32375",1044
"39","chr11",99203792,99204320,"union_peak_10043","chr11",99203630,99204363,"union_peak_6251",528
"40","chr7",79300547,79301554,"union_peak_46354","chr7",79300452,79301520,"union_peak_29013",973
"41","chr10",36157986,36158763,"union_peak_4302","chr10",36157603,36158543,"union_peak_2705",557
"42","chr7",122251135,122252111,"union_peak_47322","chr7",122251060,122252122,"union_peak_29588",976
"43","chr8",13986531,13987629,"union_peak_48270","chr8",13986368,13987695,"union_peak_30159",1098
"44","chr5",31831547,31832099,"union_peak_38708","chr5",31831035,31832216,"union_peak_24206",552
"45","chr2",32047124,32047800,"union_peak_29118","chr2",32047006,32047862,"union_peak_18113",676
"46","chr13",52800457,52801373,"union_peak_14763","chr13",52800339,52801297,"union_peak_9075",840
"47","chr16",95262735,95263490,"union_peak_22194","chr16",95262734,95263631,"union_peak_13829",755
"48","chr15",78576343,78576855,"union_peak_19332","chr15",78576290,78576933,"union_peak_12033",512
"49","chr10",19321638,19322298,"union_peak_3968","chr10",19321460,19322363,"union_peak_2479",660
"50","chr2",84498775,84499481,"union_peak_30163","chr2",84498758,84499733,"union_peak_18808",706
"51","chr11",118014082,118015047,"union_peak_10995","chr11",118014389,118015810,"union_peak_6815",658
"52","chr16",24538843,24539472,"union_peak_20978","chr16",24538694,24539692,"union_peak_13007",629
"53","chr16",87725775,87726610,"union_peak_21930","chr16",87725838,87726912,"union_peak_13658",772
"54","chr1",183987703,183988143,"union_peak_3414","chr1",183987485,183988485,"union_peak_2134",440
"55","chr14",60117746,60118514,"union_peak_16992","chr14",60117712,60118651,"union_peak_10537",768
"56","chr10",118765717,118766480,"union_peak_6401","chr10",118765724,118766599,"union_peak_4017",756
"57","chr9",77683273,77684234,"union_peak_52579","chr9",77682985,77683995,"union_peak_32735",722
"58","chr6",142964010,142965343,"union_peak_44428","chr6",142964172,142965448,"union_peak_27791",1171
"59","chr12",69863421,69863995,"union_peak_12128","chr12",69863307,69864635,"union_peak_7514",574
"60","chr1",164815204,164815865,"union_peak_2831","chr1",164814910,164815935,"union_peak_1768",661
"61","chr19",36347991,36349607,"union_peak_27475","chr19",36347963,36349731,"union_peak_17118",1616
"62","chr2",132607569,132608354,"union_peak_31134","chr2",132607464,132608506,"union_peak_19431",785
"63","chr3",100785869,100786344,"union_peak_33993","chr3",100785785,100786419,"union_peak_21159",475
"64","chr17",84272658,84273501,"union_peak_24738","chr17",84272342,84273671,"union_peak_15426",843
"65","chr6",142952395,142952889,"union_peak_44426","chr6",142952252,142952949,"union_peak_27788",494
"66","chr5",75066570,75067660,"union_peak_39475","chr5",75066470,75067850,"union_peak_24672",1090
"67","chr13",96995250,96995738,"union_peak_15471","chr13",96994947,96995840,"union_peak_9544",488
"68","chr11",21149562,21149853,"union_peak_7174","chr11",21149605,21150845,"union_peak_4528",248
"69","chr1",152269802,152270662,"union_peak_2482","chr1",152269838,152270551,"union_peak_1542",713
"70","chr14",118864829,118865494,"union_peak_17781","chr14",118864369,118865494,"union_peak_11044",665
"71","chr11",54062667,54063723,"union_peak_7922","chr11",54062814,54063770,"union_peak_4984",909
"72","chr7",68250179,68251032,"union_peak_46108","chr7",68250137,68251106,"union_peak_28869",853
"73","chr18",20958360,20958955,"union_peak_25146","chr18",20958171,20958935,"union_peak_15680",575
"74","chr17",73813029,73813513,"union_peak_24474","chr17",73812913,73813727,"union_peak_15241",484
"75","chr19",45527614,45528449,"union_peak_27762","chr19",45527692,45528523,"union_peak_17283",757
"76","chr15",59913719,59914315,"union_peak_18741","chr15",59913487,59914491,"union_peak_11670",596
"77","chr1",131110356,131111300,"union_peak_2010","chr1",131110064,131111399,"union_peak_1253",944
"78","chr11",119143269,119144025,"union_peak_11082","chr11",119143247,119143986,"union_peak_6866",717
"79","chr4",32290955,32292015,"union_peak_35424","chr4",32291062,32292057,"union_peak_22109",953
"80","chr10",118714019,118714727,"union_peak_6398","chr10",118712972,118714798,"union_peak_4013_1",708
"81","chr13",119706220,119707451,"union_peak_15971","chr13",119706238,119707636,"union_peak_9891",1213
"82","chr17",31039494,31040104,"union_peak_23241","chr17",31039293,31040267,"union_peak_14451",610
"83","chr11",106201565,106202577,"union_peak_10410","chr11",106201481,106202433,"union_peak_6469",868
"84","chr9",115623924,115624424,"union_peak_53422","chr9",115623681,115624656,"union_peak_33296",500
"85","chr8",86797557,86798242,"union_peak_49457","chr8",86797266,86798305,"union_peak_30892",685
"86","chr2",173534537,173535049,"union_peak_32256","chr2",173534261,173535179,"union_peak_20040",512
"87","chr8",123162740,123163478,"union_peak_50426","chr8",123162629,123163603,"union_peak_31440",738
"88","chr4",154935853,154937176,"union_peak_38173","chr4",154935988,154937407,"union_peak_23843",1188
"89","chr2",58149457,58150329,"union_peak_29589","chr2",58149507,58150253,"union_peak_18418",746
"90","chr10",59911174,59911707,"union_peak_4752","chr10",59910924,59911723,"union_peak_2983",533
"91","chr1",127322365,127322814,"union_peak_1887","chr1",127322411,127322825,"union_peak_1179",403
"92","chr10",96690648,96691448,"union_peak_6005","chr10",96690423,96691475,"union_peak_3762",800
"93","chr9",114440478,114441169,"union_peak_53358","chr9",114440254,114441154,"union_peak_33257",676
"94","chr2",173274748,173276851,"union_peak_32239","chr2",173274595,173275668,"union_peak_20029",920
"95","chr16",91056243,91056920,"union_peak_21984","chr16",91056149,91057214,"union_peak_13692",677
"96","chr4",57813284,57814079,"union_peak_35885","chr4",57812812,57814085,"union_peak_22409",795
"97","chr11",6694950,6695757,"union_peak_7009","chr11",6694872,6695620,"union_peak_4415",670
"98","chr2",173023346,173024034,"union_peak_32219","chr2",173023332,173023931,"union_peak_20012",585
"99","chr1",161309104,161309788,"union_peak_2729","chr1",161308955,161309851,"union_peak_1696",684
"100","chr2",59469740,59470289,"union_peak_29628","chr2",59469310,59471262,"union_peak_18445",549
"101","chr1",60781698,60782051,"union_peak_915","chr1",60781406,60782156,"union_peak_592",353
"102","chr16",22466244,22466916,"union_peak_20890","chr16",22466160,22467054,"union_peak_12952",672
"103","chr17",70973263,70974601,"union_peak_24391","chr17",70973115,70974454,"union_peak_15175",1191
"104","chr4",149469401,149470107,"union_peak_37958","chr4",149469184,149470287,"union_peak_23723",706
"105","chr1",38664492,38665905,"union_peak_356","chr1",38664374,38666011,"union_peak_236",1413
"106","chr14",18001830,18002572,"union_peak_16090","chr14",18001662,18002579,"union_peak_9965",742
"107","chr8",11008091,11009923,"union_peak_48175","chr8",11008101,11010061,"union_peak_30103",1822
"108","chr1",20912445,20913257,"union_peak_131","chr1",20912567,20913338,"union_peak_93",690
"109","chr16",95827136,95827894,"union_peak_22206","chr16",95827196,95828003,"union_peak_13843",698
"110","chr2",18983972,18984805,"union_peak_28621","chr2",18983775,18984870,"union_peak_17823",833
"111","chr16",49937609,49938228,"union_peak_21561","chr16",49935636,49938240,"union_peak_13373",619
"112","chr9",48450024,48450555,"union_peak_51608","chr9",48449853,48450609,"union_peak_32172",531
"113","chr16",23224253,23226541,"union_peak_20918_1","chr16",23223308,23225231,"union_peak_12970",978
"115","chr11",96996236,96997098,"union_peak_9788","chr11",96996133,96997040,"union_peak_6099",804
"116","chr5",75791415,75792377,"union_peak_39484","chr5",75791610,75792490,"union_peak_24673",767
"117","chr1",161156460,161157150,"union_peak_2717","chr1",161156178,161157387,"union_peak_1689",690
"118","chr7",29141434,29141916,"union_peak_45312","chr7",29141174,29142073,"union_peak_28355",482
"119","chr9",123733910,123734714,"union_peak_53755","chr9",123733745,123734533,"union_peak_33482",623
"120","chr4",95966801,95967730,"union_peak_36293","chr4",95966523,95967743,"union_peak_22685",929
"121","chr17",52448507,52449215,"union_peak_24125","chr17",52448448,52449231,"union_peak_15025",708
"122","chr2",72117291,72118070,"union_peak_29903","chr2",72117323,72118266,"union_peak_18628",747
"123","chr16",44460665,44461484,"union_peak_21443","chr16",44460746,44461673,"union_peak_13284",738
"124","chr4",135248206,135249049,"union_peak_37482","chr4",135248200,135249166,"union_peak_23417",843
"125","chr6",70813885,70814864,"union_peak_42716","chr6",70813902,70814765,"union_peak_26679",863
"126","chr16",95869369,95869981,"union_peak_22208","chr16",95869279,95870000,"union_peak_13845",612
"127","chr18",75373878,75374373,"union_peak_26156","chr18",75373892,75374281,"union_peak_16269",389
"128","chr9",115611487,115612447,"union_peak_53420","chr9",115611054,115612389,"union_peak_33294",902
"129","chr18",81210660,81211273,"union_peak_26315","chr18",81210723,81211303,"union_peak_16366",550
"130","chr18",56399244,56400616,"union_peak_25698","chr18",56399206,56400285,"union_peak_16004",1041
"131","chr9",77513795,77514332,"union_peak_52572","chr9",77513745,77514528,"union_peak_32729",537
"132","chr11",99170679,99171749,"union_peak_10039","chr11",99170568,99171649,"union_peak_6250",970
"133","chr3",101029187,101029939,"union_peak_34004","chr3",101029230,101029988,"union_peak_21169",709
"134","chr4",149854229,149854768,"union_peak_37995","chr4",149854099,149855150,"union_peak_23747",539
"135","chr13",52721375,52722058,"union_peak_14760","chr13",52721247,52722211,"union_peak_9072",683
"136","chr11",117871507,117872790,"union_peak_10975","chr11",117871505,117872975,"union_peak_6803",1283
"137","chr17",80323258,80324166,"union_peak_24598","chr17",80323236,80324237,"union_peak_15330",908
"138","chr15",59080786,59082493,"union_peak_18694","chr15",59081375,59082990,"union_peak_11640",1118
"139","chr10",96609264,96609919,"union_peak_5992","chr10",96609208,96610333,"union_peak_3755",655
"140","chr17",29428832,29429484,"union_peak_23146","chr17",29428806,29429606,"union_peak_14404",652
"141","chr2",103945346,103946196,"union_peak_30472","chr2",103945133,103946380,"union_peak_19001",850
"142","chr2",128367328,128368253,"union_peak_30960","chr2",128367143,128368367,"union_peak_19330",925
"143","chr11",78678733,78679573,"union_peak_9033","chr11",78678375,78679593,"union_peak_5646",840
"144","chr14",31414310,31415599,"union_peak_16417","chr14",31413816,31415237,"union_peak_10169",927
"145","chr11",114876226,114876874,"union_peak_10701","chr11",114876136,114877241,"union_peak_6636",648
"146","chr5",146783962,146784204,"union_peak_41463","chr5",146783762,146784214,"union_peak_25894",242
"147","chr15",83075657,83076522,"union_peak_19681","chr15",83075618,83076479,"union_peak_12243",822
"148","chr5",122288400,122288915,"union_peak_40590","chr5",122288258,122289010,"union_peak_25367",515
"149","chr1",54421647,54422655,"union_peak_718","chr1",54421244,54422338,"union_peak_461",691
"150","chr4",132007924,132008852,"union_peak_37152","chr4",132007900,132008668,"union_peak_23203",744
"151","chr10",12823521,12824350,"union_peak_3798","chr10",12823398,12824628,"union_peak_2361",829
"152","chr6",72544226,72545072,"union_peak_42797","chr6",72544194,72545052,"union_peak_26743",826
"153","chr13",112509107,112509752,"union_peak_15809","chr13",112507467,112509650,"union_peak_9776",543
"154","chr7",79363340,79364082,"union_peak_46359","chr7",79363257,79364066,"union_peak_29014",726
"155","chr15",9533310,9533832,"union_peak_18125","chr15",9532897,9533962,"union_peak_11254",522
"156","chr2",131480512,131481134,"union_peak_31079","chr2",131480375,131481253,"union_peak_19398",622
"157","chr10",99116780,99117526,"union_peak_6059","chr10",99116589,99117446,"union_peak_3801",666
"158","chr6",119918507,119919174,"union_peak_43736","chr6",119918318,119919148,"union_peak_27306",641
"159","chr12",73382230,73382964,"union_peak_12226","chr12",73382101,73382971,"union_peak_7577",734
"160","chr1",165837519,165838197,"union_peak_2886","chr1",165837495,165838553,"union_peak_1805",678
"161","chr11",3344720,3345412,"union_peak_6800","chr11",3344671,3345461,"union_peak_4289",692
"162","chr1",184024487,184025428,"union_peak_3419","chr1",184024268,184025477,"union_peak_2137",941
"163","chr2",59352916,59354314,"union_peak_29624","chr2",59353047,59354440,"union_peak_18441",1267
"164","chr1",131022576,131023363,"union_peak_1996","chr1",131022597,131023405,"union_peak_1245",766
"165","chr7",114093619,114094053,"union_peak_47136","chr7",114093354,114094235,"union_peak_29464",434
"166","chr17",84025862,84026540,"union_peak_24705","chr17",84025520,84026596,"union_peak_15408",678
"167","chr12",33048249,33048955,"union_peak_11795","chr12",33048175,33049063,"union_peak_7282",706
"168","chr12",28834084,28834847,"union_peak_11727","chr12",28834088,28835081,"union_peak_7249",759
"169","chr17",33456385,33457294,"union_peak_23397","chr17",33456267,33457458,"union_peak_14538",909
"170","chr2",169589419,169590893,"union_peak_32145","chr2",169589703,169590646,"union_peak_19969",943
"171","chr3",107099687,107100395,"union_peak_34251","chr3",107099508,107100609,"union_peak_21330",708
"172","chr12",80272889,80273799,"union_peak_12489","chr12",80272764,80274013,"union_peak_7733",910
"173","chr4",116015472,116015815,"union_peak_36604","chr4",116015447,116016217,"union_peak_22882",343
"174","chr11",54162917,54163419,"union_peak_7934","chr11",54162673,54163376,"union_peak_4992",459
"175","chr10",120895587,120896324,"union_peak_6452","chr10",120895402,120896413,"union_peak_4052",737
"176","chr1",164069099,164069624,"union_peak_2806","chr1",164069159,164069657,"union_peak_1747",465
"177","chr10",117947721,117948447,"union_peak_6328","chr10",117947631,117948524,"union_peak_3964",726
"178","chr3",101276565,101276833,"union_peak_34024","chr3",101276634,101277057,"union_peak_21182",199
"179","chr15",98623022,98623883,"union_peak_20068","chr15",98623205,98623936,"union_peak_12476",678
"180","chr8",108886694,108887650,"union_peak_49885","chr8",108886549,108887966,"union_peak_31142",956
"181","chr3",138420233,138420872,"union_peak_34804","chr3",138419004,138420750,"union_peak_21684",517
"182","chr16",23181161,23181965,"union_peak_20915","chr16",23180998,23182257,"union_peak_12967",804
"183","chr1",164071922,164072427,"union_peak_2807","chr1",164072149,164072596,"union_peak_1748",278
"184","chr9",114443040,114443930,"union_peak_53359","chr9",114443129,114444068,"union_peak_33258",801
"185","chr16",52142869,52143601,"union_peak_21630","chr16",52142998,52143802,"union_peak_13414",603
"186","chr1",135725865,135726359,"union_peak_2210","chr1",135725614,135726398,"union_peak_1363",494
"187","chr11",100845851,100846338,"union_peak_10110","chr11",100845915,100846501,"union_peak_6294",423
"188","chr2",71941098,71941965,"union_peak_29897","chr2",71941103,71942212,"union_peak_18625",862
"189","chr8",72278965,72279611,"union_peak_49112","chr8",72278837,72279713,"union_peak_30682",646
"190","chr14",70340991,70341711,"union_peak_17302","chr14",70340907,70341702,"union_peak_10727",711
"191","chr4",57781904,57783203,"union_peak_35883","chr4",57781997,57783329,"union_peak_22407",1206
"192","chr11",88430144,88430887,"union_peak_9528","chr11",88430150,88430875,"union_peak_5949",725
"193","chr17",23610192,23610948,"union_peak_22685","chr17",23610179,23611008,"union_peak_14138",756
"194","chr9",70079851,70080642,"union_peak_52426","chr9",70079756,70081286,"union_peak_32630",791
"195","chr17",79964731,79965431,"union_peak_24569","chr17",79964610,79965640,"union_peak_15308",700
"196","chr1",66552441,66553142,"union_peak_1036","chr1",66552126,66553295,"union_peak_674",701
"197","chr2",9683729,9684754,"union_peak_28384","chr2",9683458,9684329,"union_peak_17661",600
"198","chr18",14666907,14667530,"union_peak_25114","chr18",14666786,14667715,"union_peak_15660",623
"199","chr4",8778188,8778931,"union_peak_35186","chr4",8778241,8778734,"union_peak_21941",493
"200","chr5",100912359,100912849,"union_peak_39781","chr5",100912406,100912840,"union_peak_24883",434
"201","chr2",11692900,11693537,"union_peak_28489","chr2",11692825,11693635,"union_peak_17726",637
"202","chr2",70930763,70931218,"union_peak_29848","chr2",70930662,70931202,"union_peak_18600",439
"203","chr12",34990086,34990891,"union_peak_11830","chr12",34990046,34990963,"union_peak_7301",805
"204","chr4",10769693,10770602,"union_peak_35236","chr4",10769560,10770692,"union_peak_21976",909
"205","chr6",94760659,94761345,"union_peak_43252","chr6",94760561,94761622,"union_peak_27002",686
"206","chr16",24091941,24093456,"union_peak_20944","chr16",24091909,24093354,"union_peak_12986",1413
"207","chr17",84006791,84007114,"union_peak_24701","chr17",84006741,84007219,"union_peak_15404",323
"208","chr2",127927545,127928259,"union_peak_30931","chr2",127927478,127928370,"union_peak_19306",714
"209","chr10",118712929,118713288,"union_peak_6397","chr10",118712972,118714798,"union_peak_4013_2",316
"210","chr16",95860621,95861288,"union_peak_22207","chr16",95860638,95861342,"union_peak_13844",650
"211","chr11",5411591,5412151,"union_peak_6921","chr11",5411469,5412313,"union_peak_4358",560
"212","chr6",140816848,140817521,"union_peak_44383","chr6",140816616,140817495,"union_peak_27756",647
"213","chr11",99136294,99137043,"union_peak_10029","chr11",99136160,99137062,"union_peak_6242",749
"214","chr14",66188976,66189574,"union_peak_17176","chr14",66189023,66189741,"union_peak_10657",551
"215","chr9",61226033,61227239,"union_peak_52021","chr9",61226192,61227156,"union_peak_32389",964
"216","chr7",68070481,68071260,"union_peak_46097","chr7",68070276,68071406,"union_peak_28859",779
"217","chr4",156003944,156004653,"union_peak_38255","chr4",156003852,156004688,"union_peak_23898",709
"218","chr15",36395756,36397023,"union_peak_18399","chr15",36395824,36397014,"union_peak_11431",1190
"219","chr5",119348136,119348796,"union_peak_40445","chr5",119348140,119349065,"union_peak_25281",656
"220","chr11",62507575,62508184,"union_peak_8304","chr11",62507504,62508200,"union_peak_5217",609
"221","chr5",65910198,65911000,"union_peak_39274","chr5",65910185,65910979,"union_peak_24547",781
"222","chr9",96956968,96957830,"union_peak_52915","chr9",96956974,96957855,"union_peak_32967",856
"223","chr9",11513739,11514288,"union_peak_50755","chr9",11513526,11514423,"union_peak_31640",549
"224","chr9",42838119,42838835,"union_peak_51367","chr9",42838136,42839013,"union_peak_32028",699
"225","chr1",127212117,127212847,"union_peak_1874","chr1",127212135,127212943,"union_peak_1168",712
"226","chr4",86683213,86684047,"union_peak_36139","chr4",86682757,86683928,"union_peak_22583",715
"227","chr13",43788603,43789548,"union_peak_14450","chr13",43788562,43789445,"union_peak_8901",842
"228","chr5",96878664,96879494,"union_peak_39683","chr5",96878449,96879494,"union_peak_24808",830
"229","chr6",140657041,140657929,"union_peak_44374","chr6",140656577,140657648,"union_peak_27749",607
"230","chr4",129565096,129565552,"union_peak_37043","chr4",129565161,129565854,"union_peak_23141",391
"231","chr16",10668865,10669483,"union_peak_20560","chr16",10668743,10669451,"union_peak_12758",586
"232","chr9",120691569,120692461,"union_peak_53613","chr9",120691605,120692669,"union_peak_33402",856
"233","chr11",22692638,22693731,"union_peak_7217","chr11",22692625,22693671,"union_peak_4554",1033
"234","chr16",51690618,51691417,"union_peak_21596","chr16",51690519,51691681,"union_peak_13396",799
"235","chr19",32574248,32575406,"union_peak_27378","chr19",32574266,32575416,"union_peak_17044",1140
"236","chr7",81154703,81155482,"union_peak_46503","chr7",81154564,81155471,"union_peak_29101",768
"237","chr6",38120479,38121211,"union_peak_42056","chr6",38120036,38121037,"union_peak_26272",558
"238","chr15",80538111,80539210,"union_peak_19516","chr15",80537967,80539332,"union_peak_12143",1099
"239","chr2",164899517,164900612,"union_peak_31840","chr2",164899461,164900375,"union_peak_19818",858
"240","chr17",33947734,33948101,"union_peak_23443","chr17",33947648,33948221,"union_peak_14574",367
"241","chr3",130936942,130937310,"union_peak_34603","chr3",130936744,130937605,"union_peak_21570",368
"242","chr6",146082550,146083369,"union_peak_44527","chr6",146082757,146083155,"union_peak_27858",398
"243","chr15",53266818,53267923,"union_peak_18598","chr15",53266878,53268158,"union_peak_11570",1045
"244","chr6",31201202,31201966,"union_peak_41949","chr6",31201112,31201866,"union_peak_26209",664
"245","chr17",80441384,80442211,"union_peak_24602","chr17",80441020,80442465,"union_peak_15334",827
"246","chr9",120776357,120777213,"union_peak_53617","chr9",120776348,120777174,"union_peak_33404",817
"247","chr9",103448984,103449644,"union_peak_53023","chr9",103449006,103449799,"union_peak_33029",638
"248","chr16",23143937,23144917,"union_peak_20911","chr16",23143813,23145101,"union_peak_12962",980
"249","chr8",13979818,13980577,"union_peak_48269","chr8",13979649,13980552,"union_peak_30158",734
"250","chr9",66492240,66492847,"union_peak_52310","chr9",66491891,66492977,"union_peak_32558",607
"251","chr19",32998663,32999491,"union_peak_27403","chr19",32998568,32999596,"union_peak_17062",828
"252","chr18",84302460,84303130,"union_peak_26388","chr18",84302253,84303140,"union_peak_16414",670
"253","chr13",52083495,52084504,"union_peak_14747","chr13",52083608,52084728,"union_peak_9065",896
"254","chr6",88782521,88783422,"union_peak_43133","chr6",88782522,88783396,"union_peak_26948",874
"255","chr17",31692956,31694004,"union_peak_23297","chr17",31692849,31694009,"union_peak_14481",1048
"256","chr19",45780503,45781016,"union_peak_27786","chr19",45780645,45781224,"union_peak_17293",371
"257","chr11",115461799,115462971,"union_peak_10760","chr11",115461952,115464066,"union_peak_6671",1019
"258","chr2",72281862,72283275,"union_peak_29911","chr2",72281818,72283418,"union_peak_18633",1413
"259","chr2",53094884,53095711,"union_peak_29555","chr2",53094817,53095677,"union_peak_18394",793
"260","chr11",99166162,99166823,"union_peak_10037","chr11",99166082,99166743,"union_peak_6249",581
"261","chr4",57833925,57834649,"union_peak_35887","chr4",57833595,57834721,"union_peak_22411",724
"262","chr12",25958448,25959232,"union_peak_11698","chr12",25957758,25959316,"union_peak_7230",784
"263","chr9",44526249,44527226,"union_peak_51457","chr9",44526271,44527105,"union_peak_32080",834
"264","chr4",135290160,135290685,"union_peak_37486","chr4",135290016,135290833,"union_peak_23420",525
"265","chr14",31433188,31433640,"union_peak_16419","chr14",31432902,31433827,"union_peak_10170",452
"266","chr3",38280104,38280650,"union_peak_32814","chr3",38280025,38281030,"union_peak_20400",546
"267","chr1",127319625,127320409,"union_peak_1886","chr1",127319489,127320363,"union_peak_1178",738
"268","chr9",101249444,101250086,"union_peak_52984","chr9",101249460,101250279,"union_peak_33004",626
"269","chr10",7630272,7631511,"union_peak_3707","chr10",7630255,7631667,"union_peak_2303",1239
"270","chr9",61186619,61187871,"union_peak_52018","chr9",61186680,61187816,"union_peak_32386",1136
"271","chr11",106430293,106430974,"union_peak_10427","chr11",106430332,106431181,"union_peak_6478",642
"272","chr2",156882383,156882998,"union_peak_31590","chr2",156882325,156883105,"union_peak_19681",615
"273","chr17",32276878,32277530,"union_peak_23350","chr17",32276871,32277633,"union_peak_14503",652
"274","chr18",56504188,56505352,"union_peak_25720","chr18",56504316,56505592,"union_peak_16018",1036
"275","chr10",81247715,81248517,"union_peak_5497","chr10",81247750,81248546,"union_peak_3421",767
"276","chr11",121697211,121697771,"union_peak_11269","chr11",121697130,121697917,"union_peak_6972",560
"277","chr11",86370805,86371966,"union_peak_9386","chr11",86370867,86371867,"union_peak_5850",1000
"278","chr1",58300942,58301606,"union_peak_811","chr1",58300924,58301607,"union_peak_521",664
"279","chr11",75318596,75319375,"union_peak_8801","chr11",75318699,75319374,"union_peak_5498",675
"280","chr10",42848317,42849336,"union_peak_4529","chr10",42848396,42849257,"union_peak_2838",861
"281","chr5",134444251,134445492,"union_peak_40938","chr5",134444105,134445537,"union_peak_25607",1241
"282","chr19",6293302,6293951,"union_peak_26691","chr19",6293202,6293970,"union_peak_16616",649
"283","chr11",11506003,11506728,"union_peak_7024","chr11",11505624,11506736,"union_peak_4427",725
"284","chr5",134481991,134482601,"union_peak_40941","chr5",134482107,134482816,"union_peak_25609",494
"285","chr17",29155725,29156277,"union_peak_23114","chr17",29155586,29156453,"union_peak_14387",552
"286","chr19",11807160,11807911,"union_peak_27018","chr19",11806939,11807914,"union_peak_16819",751
"287","chr1",180338322,180338741,"union_peak_3257","chr1",180338174,180338987,"union_peak_2046",419
"288","chr5",134437234,134438089,"union_peak_40936","chr5",134437187,134438105,"union_peak_25606",855
"289","chr16",32972459,32973154,"union_peak_21180","chr16",32972437,32973259,"union_peak_13123",695
"290","chr7",24451853,24452492,"union_peak_45043","chr7",24451754,24452520,"union_peak_28191",639
"291","chr19",14695262,14695906,"union_peak_27089","chr19",14695064,14696066,"union_peak_16865",644
"292","chr3",131199479,131200365,"union_peak_34638","chr3",131199378,131200325,"union_peak_21594",846
"293","chr17",23620145,23620784,"union_peak_22687","chr17",23620106,23620926,"union_peak_14140",639
"294","chr15",63971286,63972083,"union_peak_18852","chr15",63971389,63972081,"union_peak_11737",692
"295","chr5",110979224,110980529,"union_peak_40054","chr5",110979664,110980760,"union_peak_25074",865
"296","chr12",36025434,36026300,"union_peak_11848","chr12",36025238,36025990,"union_peak_7315",556
