peak,chr,start,end,group
union_peak_28738,chr7,58822312,58822971,B
union_peak_2115,chr1,182382832,182383834,B
union_peak_2176,chr1,189866309,189868142,B
union_peak_16223,chr18,73541138,73542572,B
union_peak_18300,chr2,38511249,38512287,B
union_peak_27517,chr6,128766599,128767430,B
union_peak_17489,chr19,57093091,57094168,B
union_peak_33530,chr9,124439094,124440632,B
union_peak_12797,chr16,11455747,11456805,B
union_peak_4453,chr11,11762961,11764040,B
union_peak_33693,chrX,20271939,20272697,B
union_peak_7452,chr12,59039677,59041012,B
union_peak_19453,chr2,143838609,143841290,B
union_peak_24035,chr5,21202856,21203856,B
union_peak_29531,chr7,118113363,118114351,B
union_peak_6298,chr11,100857701,100858277,B
union_peak_29895,chr7,135591232,135591931,B
union_peak_13618,chr16,78537167,78538585,B
union_peak_1706,chr1,161744407,161745386,B
union_peak_7502,chr12,69537440,69539879,B
union_peak_29912,chr7,139151079,139151674,B
union_peak_25523,chr5,125105990,125107340,B
union_peak_21948,chr4,8822322,8823224,B
union_peak_11206,chr15,6522376,6523513,B
union_peak_11113,chr14,121894941,121895935,B
union_peak_24221,chr5,32609810,32611172,B
union_peak_3568,chr10,88426669,88427026,B
union_peak_13370,chr16,49887506,49888813,B
union_peak_24823,chr5,97075251,97076083,B
union_peak_33085,chr9,107280160,107281499,B
union_peak_15673,chr18,20868872,20869996,B
union_peak_13193,chr16,36686974,36688014,B
union_peak_5793,chr11,83578801,83579834,B
union_peak_26625,chr6,65593338,65594979,B
union_peak_1448,chr1,138952154,138953256,B
union_peak_24263,chr5,34538166,34539680,B
union_peak_3181,chr10,75354284,75354851,B
union_peak_15720,chr18,24674578,24675414,B
union_peak_15843,chr18,36673131,36673670,B
union_peak_5193,chr11,61638509,61639802,B
union_peak_1112,chr1,106615495,106616129,B
union_peak_1230,chr1,129615647,129617165,B
union_peak_31791,chr9,21609540,21610553,B
union_peak_9093,chr13,53000340,53002008,B
union_peak_16837,chr19,12576567,12577118,B
union_peak_6192,chr11,98477433,98478005,B
union_peak_20778,chr3,84848254,84849805,B
union_peak_32889,chr9,94610305,94610828,B
union_peak_13354,chr16,49768834,49769165,B
union_peak_21493,chr3,123459057,123460012,B
union_peak_23947,chr5,3501462,3502527,B
union_peak_32360,chr9,58580730,58582276,B
union_peak_13926,chr17,6007909,6009126,B
union_peak_5398,chr11,70597132,70598052,B
union_peak_17177,chr19,40660879,40662318,B
union_peak_11470,chr15,37435821,37437726,B
union_peak_32620,chr9,69457928,69458682,B
union_peak_4256,chr10,130469875,130470764,B
union_peak_8043,chr12,101979135,101979924,B
union_peak_8133,chr12,107720481,107721743,B
union_peak_32833,chr9,86617448,86618892,B
union_peak_24388,chr5,53566069,53567149,B
union_peak_1528,chr1,151689228,151689939,B
union_peak_8660,chr13,24486974,24488062,B
union_peak_22484,chr4,62479747,62481768,B
union_peak_15464,chr17,86187632,86188522,B
union_peak_33979,chrX,77640009,77641054,B
union_peak_13360,chr16,49792359,49793622,B
union_peak_5233,chr11,62751887,62753288,B
union_peak_10828,chr14,75186045,75186979,B
union_peak_13361,chr16,49798779,49799764,B
union_peak_24698,chr5,77211504,77212701,B
union_peak_18705,chr2,75685333,75685835,B
union_peak_8292,chr12,114108457,114109455,B
union_peak_27360,chr6,121237827,121239122,B
union_peak_19570,chr2,152788985,152790100,B
union_peak_25133,chr5,113670277,113671578,B
union_peak_34105,chrX,107095988,107097055,B
union_peak_4713,chr11,43385201,43385576,B
union_peak_29564,chr7,120698967,120700425,B
union_peak_30417,chr8,40962662,40963691,B
union_peak_2587,chr10,22148227,22149599,B
union_peak_17640,chr2,6698217,6698961,B
union_peak_32837,chr9,87025463,87026495,B
union_peak_13735,chr16,91780446,91781656,C
union_peak_29642,chr7,125511099,125512087,C
union_peak_4666,chr11,33700324,33701497,C
union_peak_32387,chr9,61215749,61216784,C
union_peak_1483,chr1,144075835,144077312,C
union_peak_14797,chr17,44566747,44567542,C
union_peak_30342,chr8,34654533,34655175,C
union_peak_17726,chr2,11692826,11693635,C
union_peak_18299,chr2,38471828,38473331,C
union_peak_18343,chr2,45017041,45017924,C
union_peak_27858,chr6,146082758,146083155,C
union_peak_17884,chr2,25170085,25170730,C
union_peak_8823,chr13,38049525,38050353,C
union_peak_24840,chr5,99499500,99500261,C
union_peak_21941,chr4,8778242,8778734,C
union_peak_5218,chr11,62508733,62509238,C
union_peak_5108,chr11,58467176,58468139,C
union_peak_9028,chr13,51597959,51598644,C
union_peak_32735,chr9,77682986,77683995,C
union_peak_31515,chr8,126199919,126200781,C
union_peak_17652,chr2,9535695,9536484,C
union_peak_2678,chr10,30570042,30570821,C
union_peak_4321,chr11,4288989,4289956,C
union_peak_19321,chr2,128196910,128197977,C
union_peak_5271,chr11,67522559,67523225,C
union_peak_1027,chr1,92773898,92775077,C
union_peak_19852,chr2,166227275,166228047,C
union_peak_16434,chr18,88975403,88976061,C
union_peak_8033,chr12,101053237,101054157,C
union_peak_19791,chr2,164360067,164360976,C
union_peak_745,chr1,74372916,74373866,C
union_peak_26209,chr6,31201113,31201866,C
union_peak_14993,chr17,51395742,51396576,C
union_peak_27514,chr6,128473941,128474542,C
union_peak_1245,chr1,131022598,131023405,C
union_peak_28186,chr7,24425858,24426385,C
union_peak_14794,chr17,44455920,44456490,C
union_peak_21985,chr4,11088761,11089547,C
union_peak_16432,chr18,88924307,88925240,C
union_peak_29342,chr7,102326045,102326911,C
union_peak_2677,chr10,30549709,30550638,C
union_peak_29139,chr7,84386198,84387112,C
union_peak_780,chr1,79560782,79561889,C
union_peak_29305,chr7,101452567,101453982,C
union_peak_11075,chr14,121107346,121108349,C
union_peak_20205,chr3,14979030,14979779,C
union_peak_5673,chr11,79129417,79130514,C
union_peak_33640,chrX,11982674,11983758,C
union_peak_24387,chr5,53490259,53491688,C
union_peak_21016,chr3,95385477,95386381,C
union_peak_29996,chr7,141558064,141558736,C
union_peak_17020,chr19,32148763,32149341,C
union_peak_2397,chr10,14016247,14016948,C
union_peak_2394,chr10,13997339,13997988,C
union_peak_26563,chr6,54991057,54991793,C
union_peak_17579,chr2,3742371,3743474,C
union_peak_5838,chr11,85929518,85930176,C
union_peak_19963,chr2,168582803,168583661,C
union_peak_8764,chr13,33001137,33002063,C
union_peak_2690,chr10,34030121,34031237,C
union_peak_18012,chr2,29668830,29669591,C
union_peak_14715,chr17,35755089,35755877,C
union_peak_6105,chr11,97095867,97096673,C
union_peak_16004,chr18,56399207,56400285,C
union_peak_20720,chr3,79269725,79270438,C
union_peak_9668,chr13,107094235,107095983,C
union_peak_27745,chr6,140620254,140620944,C
union_peak_13407,chr16,52064347,52065316,C
union_peak_32726,chr9,75630556,75631395,C
union_peak_5290,chr11,68545669,68546509,C
union_peak_19330,chr2,128367144,128368367,C
union_peak_13237,chr16,38678540,38679565,C
union_peak_781,chr1,79581180,79582273,C
union_peak_33885,chrX,57184673,57185404,C
union_peak_16256,chr18,75043447,75044475,C
union_peak_19898,chr2,167334528,167336354,C
union_peak_20785,chr3,85887585,85889183,C
union_peak_11361,chr15,27799602,27800977,C
union_peak_27902,chr7,3272083,3272940,C
union_peak_22523,chr4,63594898,63595931,C
union_peak_32810,chr9,84774166,84775723,C
union_peak_11027,chr14,118123842,118125116,C
union_peak_27146,chr6,108552926,108553863,C
union_peak_29058,chr7,80416867,80417722,C
union_peak_29166,chr7,90006844,90007814,BC
union_peak_26659,chr6,67375091,67376922,BC
union_peak_1596,chr1,155172786,155174005,BC
union_peak_27896,chr6,149193402,149194265,BC
union_peak_22648,chr4,89178063,89178697,BC
union_peak_31550,chr8,127051993,127052945,BC
union_peak_10949,chr14,87050686,87052160,BC
union_peak_18196,chr2,33544486,33545110,BC
union_peak_9813,chr13,113600489,113601831,BC
union_peak_2485,chr10,19494182,19495123,BC
union_peak_13632,chr16,84602139,84603257,BC
union_peak_16892,chr19,18606297,18606855,BC
union_peak_26666,chr6,67475175,67476112,BC
union_peak_3680,chr10,94864329,94865454,BC
union_peak_399,chr1,52066502,52067894,BC
union_peak_24832,chr5,98032798,98033831,BC
union_peak_6591,chr11,109673615,109674306,BC
union_peak_3241,chr10,77366677,77367571,BC
union_peak_29579,chr7,121944664,121946151,BC
union_peak_23932,chr5,3151679,3152716,BC
union_peak_11268,chr15,10035080,10036246,BC
union_peak_34080,chrX,103622997,103624078,BC
union_peak_12214,chr15,81819230,81820496,BC
union_peak_10970,chr14,101878778,101879841,BC
union_peak_25931,chr5,148489026,148490198,BC
union_peak_27370,chr6,122291322,122292509,BC
union_peak_14774,chr17,36971297,36973231,BC
union_peak_24196,chr5,31576303,31577211,BC
union_peak_22650,chr4,89272044,89273121,BC
union_peak_14808,chr17,44702312,44703532,BC
union_peak_15525,chr17,88123570,88124733,BC
union_peak_27554,chr6,129239747,129240303,BC
union_peak_6058,chr11,95907508,95908570,BC
union_peak_17550,chr19,61083897,61084888,BC
union_peak_6823,chr11,118200010,118200894,BC
union_peak_10664,chr14,66220968,66221651,BC
union_peak_6361,chr11,102087067,102089608,BC
union_peak_24618,chr5,72731238,72732051,BC
union_peak_20576,chr3,60239742,60241541,BC
union_peak_18086,chr2,31081251,31083220,BC
union_peak_30098,chr8,10462047,10463645,BC
union_peak_23983,chr5,8838854,8840291,BC
union_peak_16383,chr18,82244418,82245458,BC
union_peak_8088,chr12,104061660,104062351,BC
union_peak_30106,chr8,11463696,11464756,BC
union_peak_13318,chr16,45763507,45764496,BC
union_peak_5234,chr11,62761440,62762460,BC
union_peak_1851,chr1,170950009,170951258,BC
union_peak_17011,chr19,30118400,30119213,BC
union_peak_18278,chr2,36219710,36220709,BC
union_peak_11625,chr15,58684393,58685785,BC
union_peak_28921,chr7,74495174,74496138,BC
union_peak_5278,chr11,67633437,67634476,BC
union_peak_7203,chr12,25249810,25250506,BC
union_peak_26198,chr6,31085023,31085953,BC
union_peak_11129,chr14,121987400,121988245,BC
union_peak_18844,chr2,90564638,90565177,BC
